text,text_indexes
scene ii a room of state in the same,"[521, 1224, 8, 1055, 6, 334, 11, 2]"
i the city of kites and crows what an ass it is,"[3, 2, 740, 6, 4394, 4, 3102, 32]"
the flowers of troy i can tell you but mark,"[2, 1194, 6, 888, 3, 97, 94, 7]"
to bed when she list rise when she list all is as,"[5, 300, 58, 48, 1052, 1089, 58, 48]"
what says my sweet queen my cousin will fall out,"[32, 353, 10, 158, 202, 10, 607, 26]"
on whom i may confer what i have got,"[42, 222, 3, 80, 4076, 32, 3, 20]"
then rose again and bowd her to the people,"[62, 1145, 178, 4, 2748, 34, 5, 2]"
if zealous love should go in search of virtue,"[30, 10707, 59, 83, 76, 11, 1282, 6]"
my wish shall show me the way to my will,"[10, 339, 35, 209, 15, 2, 148, 5]"
thing a plague of all cowards i say still,"[179, 8, 720, 6, 37, 2231, 3, 71]"
a dear happiness to women they would else have,"[8, 232, 2637, 5, 653, 45, 43, 211]"
you would be sweet madam if your miseries were in,"[7, 43, 18, 158, 357, 30, 27, 3657]"
and of his friends there it is lots to blanks,"[4, 6, 25, 217, 73, 14, 13, 5342]"
my tongue to such a pacelook sir my wounds,"[10, 224, 5, 99, 8, 9522, 57, 10]"
the turk with a most mighty preparation makes for,"[2, 3037, 21, 8, 126, 1745, 3583, 285]"
no no we will hold it as a dream till it appear,"[33, 33, 38, 26, 192, 14, 22, 8]"
tween man and man but thou thou meagre lead,"[3600, 65, 4, 65, 19, 28, 28, 11700]"
being wronged as we are by this peevish town,"[195, 2220, 22, 38, 39, 36, 24, 2656]"
enter joan la pucelle disguised with four soldiers with sacks upon their backs,"[113, 1510, 871, 1913, 2148, 21, 511, 465]"
no saw you not even now a blessed troop,"[33, 318, 7, 12, 167, 44, 8, 1553]"
till i have used the approved means i have,"[146, 3, 20, 825, 2, 4025, 326, 3]"
for then i pity those i do not know,"[16, 62, 3, 480, 182, 3, 31, 12]"
but just a pound of flesh if thou cutst more,"[19, 619, 8, 1026, 6, 522, 30, 28]"
that the earth owes i hear it now above me,"[9, 2, 288, 1881, 3, 119, 14, 44]"
but throw her forth to beasts and birds of prey,"[19, 729, 34, 294, 5, 1416, 4, 1723]"
o how i love thee how i dote on thee,"[54, 70, 3, 59, 40, 70, 3, 1954]"
know the dressy age dotes ononly got the tune of,"[69, 2, 10145, 472, 4506, 10146, 586, 2]"
and then they say no spirit dares stir abroad,"[4, 62, 45, 71, 33, 500, 1070, 668]"
i have sweat to see his honour my honoured lord,"[3, 20, 1995, 5, 85, 25, 197, 10]"
i wish i could be made so many men,"[3, 339, 3, 128, 18, 114, 29, 227]"
her face the book of praises where is read,"[34, 200, 2, 657, 6, 2660, 108, 13]"
had any friend would be a man for my sake but,"[77, 131, 235, 43, 18, 8, 65, 16]"
even while mens minds are wild lest more mischance,"[167, 356, 834, 1291, 39, 883, 589, 55]"
ay if the fool could find it where it lies,"[147, 30, 2, 216, 128, 153, 14, 108]"
therefore thou must be hangd at the states charge,"[245, 28, 88, 18, 2426, 46, 2, 3764]"
have torn their souls by turning them from us,"[20, 3815, 92, 624, 36, 2483, 64, 60]"
as he cried thus let be to as much end,"[22, 17, 808, 145, 61, 18, 5, 22]"
i am most unhappy in the loss of it,"[3, 49, 126, 5093, 11, 2, 579, 6]"
in peace and honour rest you here my sons,"[11, 223, 4, 197, 234, 7, 72, 10]"
and buy a ropes end that will i bestow,"[4, 650, 8, 4484, 278, 9, 26, 3]"
bidding of a monarch and his countenance enforces homage,"[2180, 6, 8, 5639, 4, 25, 1782, 7156]"
thou bidst me beg this begging is not strange,"[28, 4407, 15, 577, 24, 5793, 13, 12]"
the sweet warman is dead and rotten sweet chucks,"[2, 158, 11307, 13, 180, 4, 1966, 158]"
to rouse his wrongs and chase them to the bay,"[5, 1882, 25, 1148, 4, 1634, 64, 5]"
to say this boy were like me come sir page,"[5, 71, 24, 238, 74, 87, 15, 52]"
a brace of draymen bid god speed him well,"[8, 2513, 6, 12757, 248, 122, 752, 23]"
or by the father there were none at all,"[50, 36, 2, 165, 73, 74, 177, 46]"
no then he will say twas done cowardly when he wakes,"[33, 62, 17, 26, 71, 491, 132, 3002]"
for her favours i could lay on like a butcher and,"[16, 34, 2070, 3, 128, 313, 42, 87]"
this is the fool that lent out money gratis,"[24, 13, 2, 216, 9, 1702, 89, 408]"
your first is dead or twere as good he were,"[27, 157, 13, 180, 50, 612, 22, 47]"
a shallow plash to plunge him in the deep,"[8, 1888, 13142, 5, 3922, 23, 11, 2]"
why then take no note of him but let him go and,"[91, 62, 95, 33, 498, 6, 23, 19]"
come come tis only i that must disgrace thee,"[52, 52, 98, 379, 3, 9, 88, 1387]"
of sighs of groans of sorrow and of teen,"[6, 965, 6, 1368, 6, 636, 4, 6]"
come on i say and first begin with her,"[52, 42, 3, 71, 4, 157, 746, 21]"
i give you and gold confound you howsoeer amen,"[3, 90, 7, 4, 358, 2551, 7, 13527]"
and you are stayd for there my blessing with thee,"[4, 7, 39, 1818, 16, 73, 10, 1346]"
knock off his manacles bring your prisoner to the king,"[1103, 184, 25, 6795, 208, 27, 1750, 5]"
so ere you find where light in darkness lies,"[29, 203, 7, 153, 108, 286, 11, 2127]"
as of her tongue she oft bestows on me,"[22, 6, 34, 224, 48, 595, 6731, 42]"
has caught me in his eye i will present,"[198, 1306, 15, 11, 25, 241, 3, 26]"
come hither boy come come and learn of us,"[52, 476, 238, 52, 52, 4, 697, 6]"
why thou art thus incensed let him go gertrude,"[91, 28, 118, 145, 2804, 61, 23, 76]"
well hal well and in some sort it jumps with my,"[51, 1160, 51, 4, 11, 103, 999, 14]"
who i no i defy thee gods light i was never,"[106, 3, 33, 3, 2010, 40, 201, 286]"
love and be friends as two such men should be,"[59, 4, 18, 217, 22, 137, 99, 116]"
what is the course and drift of your compact,"[32, 13, 2, 583, 4, 3105, 6, 27]"
where we have lived and so extort froms that,"[108, 38, 20, 754, 4, 29, 6941, 6891]"
ready by my troth i am exceeding ill heighho,"[633, 36, 10, 602, 3, 49, 5006, 63]"
yea noise then ill be brief o happy dagger,"[458, 767, 62, 63, 18, 784, 54, 570]"
isis hear me this prayer though thou deny me a,"[5327, 119, 15, 24, 1465, 143, 28, 594]"
enter brabantio roderigo and officers with torches and weapons,"[113, 12423, 4199, 4, 1386, 21, 2908, 4]"
alexander returneth into dust the dust is earth of,"[3236, 6251, 236, 1022, 2, 1022, 13, 288]"
i put you oer to heaven and to my mother,"[3, 170, 7, 426, 5, 138, 4, 5]"
without his roe like a dried herring flesh flesh,"[410, 25, 7910, 87, 8, 2337, 4806, 522]"
be done in this and all things i obey,"[18, 132, 11, 24, 4, 37, 295, 3]"
we would spend it in some words upon that business,"[38, 43, 799, 14, 11, 103, 213, 105]"
knowledge be more it is much darkened in your malice,"[1030, 18, 55, 14, 13, 104, 11536, 11]"
to make him even oer the time he has lost,"[5, 82, 23, 167, 426, 2, 110, 17]"
here will i sit before the walls of rouen,"[72, 26, 3, 383, 168, 2, 1009, 6]"
i need not add more fuel to your fire,"[3, 355, 12, 1528, 55, 4354, 5, 27]"
humour and like enough to consent what would you,"[643, 4, 87, 327, 5, 1046, 32, 43]"
of our own power what think you of it,"[6, 56, 121, 246, 32, 100, 7, 6]"
go with me to it and ill show it you and by the way,"[76, 21, 15, 5, 14, 4, 63, 209]"
i could not for my heart deny it him,"[3, 128, 12, 16, 10, 111, 594, 14]"
could i come near your beauty with my nails,"[128, 3, 52, 352, 27, 664, 21, 10]"
such a case as mine a man may strain courtesy,"[99, 8, 629, 22, 102, 8, 65, 80]"
spake he so doubtfully thou couldst not feel his meaning,"[1025, 17, 29, 6727, 28, 1330, 12, 639]"
on t jove a foul fault when gods have hot,"[42, 482, 970, 8, 425, 405, 58, 201]"
shall never see so much nor live so long,"[35, 130, 85, 29, 104, 117, 163, 29]"
he hath studied her will and translated her will,"[17, 75, 4165, 34, 26, 4, 7653, 34]"
hold up his head as it were and strut in his gait,"[192, 107, 25, 189, 22, 14, 74, 4]"
spurio with his cicatrice an emblem of war here,"[6403, 21, 25, 8769, 78, 8770, 6, 368]"
your clowns speak no more than is set down for them,"[27, 9992, 101, 33, 55, 79, 13, 196]"
give me your pardon sir ive done you wrong,"[90, 15, 27, 419, 57, 7097, 132, 7]"
hes one honest enough would all the rest were so,"[283, 68, 323, 327, 43, 37, 2, 234]"
ay and brought off the field your cause of sorrow,"[147, 4, 437, 184, 2, 544, 27, 270]"
were i have acquainted you withal to the end to,"[74, 3, 20, 2304, 7, 812, 5, 2]"
say but the word and i will be his priest,"[71, 19, 2, 172, 4, 3, 26, 18]"
such sheets of fire such bursts of horrid thunder,"[99, 2438, 6, 297, 99, 10941, 6, 3625]"
alehouses and bid those that are drunk get them to bed,"[12363, 4, 248, 182, 9, 39, 787, 242]"
then learn this of me to have is to have for it,"[62, 697, 24, 6, 15, 5, 20, 13]"
upon their first lords neck but tell me true,"[105, 92, 157, 231, 870, 19, 94, 15]"
matter of more weight good isis i beseech thee,"[309, 6, 55, 1251, 47, 5327, 3, 457]"
as i do trust i am notthen dear uncle,"[22, 3, 31, 440, 3, 49, 8966, 232]"
so much to my good comfort as it is,"[29, 104, 5, 10, 47, 506, 22, 14]"
no sir no jot i know your favour well,"[33, 57, 33, 1974, 3, 69, 27, 701]"
if not he foams at mouth and by and by,"[30, 12, 17, 7815, 46, 513, 4, 36]"
i says she that have so oft encountered him,"[3, 353, 48, 9, 20, 29, 595, 4372]"
word well set thee down sorrow for so they say,"[172, 51, 196, 40, 150, 636, 16, 29]"
aside i am glad thou hast set thy mercy and,"[269, 3, 49, 432, 28, 155, 196, 41]"
off i would prick your guts a little in good,"[184, 3, 43, 2015, 27, 3020, 8, 228]"
bitter to me as death your life good master,"[1411, 5, 15, 22, 127, 27, 120, 47]"
to put on better ere he go to church,"[5, 170, 42, 199, 203, 17, 76, 5]"
god witness with me i have wept for thine,"[122, 696, 21, 15, 3, 20, 1498, 16]"
i know not what to say but give me your hands,"[3, 69, 12, 32, 5, 71, 19, 90]"
tying thine ear to no tongue but thine own,"[4935, 230, 435, 5, 33, 224, 19, 230]"
pack a conspiracy against me now shall the devil,"[1682, 8, 12034, 281, 15, 44, 35, 2]"
and yours as blunt as the fencers foils which hit,"[4, 330, 22, 1233, 22, 2, 12398, 3626]"
thou a bear thou wouldst be killed by the horse,"[28, 8, 169, 28, 555, 18, 1140, 36]"
yea but a little charge will trench him here,"[458, 19, 8, 228, 362, 26, 8254, 23]"
tell me not friar that thou hearst of this,"[94, 15, 12, 837, 9, 28, 5507, 6]"
pleasure but in passion not in words only but in,"[691, 19, 11, 1057, 12, 11, 213, 379]"
they stand at the door master bid them welcome hither,"[45, 181, 46, 2, 524, 144, 248, 64]"
my lord of warwick hear me but one word,"[10, 67, 6, 540, 119, 15, 19, 68]"
ay and a subtle as he most learnedly delivered,"[147, 4, 8, 2041, 22, 17, 126, 7981]"
black as the ink thats on thee senseless bauble,"[531, 22, 2, 1921, 250, 42, 40, 2661]"
ill use you for my mirth yea for my laughter,"[63, 243, 7, 16, 10, 1064, 458, 16]"
that our garments being as they were drenched in,"[9, 56, 1784, 195, 22, 45, 74, 13304]"
it grows yet youth the more it is wasted the,"[14, 922, 84, 374, 2, 55, 14, 13]"
you came in arms to spill mine enemies blood,"[7, 259, 11, 361, 5, 5366, 102, 1709]"
be not afeard the isle is full of noises,"[18, 12, 2042, 2, 1449, 13, 247, 6]"
as chaste as is the bud ere it be blown,"[22, 1235, 22, 13, 2, 4198, 203, 14]"
my date of life out for his sweet lifes loss,"[10, 3016, 6, 120, 89, 16, 25, 158]"
i think he would not wish himself any where but,"[3, 100, 17, 43, 12, 339, 315, 131]"
for the most part too they are foolish that are so,"[16, 2, 126, 174, 96, 45, 39, 1215]"
be of what colour it please god ha the prince and,"[18, 6, 32, 926, 14, 239, 122, 528]"
by my sweet soul i mean setting thee at liberty,"[36, 10, 158, 221, 3, 264, 2367, 40]"
how to get clear of all the debts i owe,"[70, 5, 242, 987, 6, 37, 2, 2710]"
by this i hope she hath a son for me,"[36, 24, 3, 229, 48, 75, 8, 161]"
or by saint paul ill strike thee to my foot,"[50, 36, 916, 4201, 63, 559, 40, 5]"
because some tell me that thou art a king,"[525, 103, 94, 15, 9, 28, 118, 8]"
away with him away with him he speaks latin,"[159, 21, 23, 159, 21, 23, 17, 576]"
the fairy land buys not the child of me,"[2, 2498, 485, 3238, 12, 2, 386, 6]"
not worth the time of day it pierced me through,"[12, 407, 2, 110, 6, 134, 14, 5919]"
the world and to live in a nook merely monastic,"[2, 133, 4, 5, 163, 11, 8, 6571]"
dead march enter the funeral of king henry the fifth attended on by dukes of bedford regent of france gloucester protector and exeter earl of warwick the bishop of winchester heralds and c,"[180, 761, 113, 2, 4277, 6, 93, 434]"
major so that it follows i am rough and,"[4974, 29, 9, 14, 1470, 3, 49, 1124]"
tear him to pieces do it presently he killd,"[810, 23, 5, 2088, 31, 14, 1462, 17]"
for if but once thou show me thy grey light,"[16, 30, 19, 210, 28, 209, 15, 41]"
by their increase now knows not which is which,"[36, 92, 3090, 44, 365, 12, 66, 13]"
but upon my mended judgmentif i offend not to say,"[19, 105, 10, 4060, 9665, 3, 1206, 12]"
mad let us grant him then and now remains,"[328, 61, 81, 656, 23, 62, 4, 44]"
strike as thou didst at caesar for i know,"[559, 22, 28, 445, 46, 347, 16, 3]"
yonder comes a poet and a painter the plague of,"[1534, 187, 8, 2677, 4, 8, 3279, 2]"
had not concluded all he wakes speak to him,"[77, 12, 5763, 37, 17, 2715, 101, 5]"
how my pretty york i pray thee let me hear it,"[70, 10, 913, 311, 3, 123, 40, 61]"
and what wit could wit have to excuse that,"[4, 32, 276, 128, 276, 20, 5, 1378]"
o let me teach thee for my fathers sake,"[54, 61, 15, 600, 40, 16, 10, 453]"
then with a passion would i shake the world,"[62, 21, 8, 1057, 43, 3, 605, 2]"
encounter any such apprehend him an thou dost me love,"[2676, 131, 99, 5659, 23, 78, 28, 218]"
my lord the first time that i ever saw him,"[10, 67, 2, 157, 110, 9, 3, 205]"
if you do love me you will find me out,"[30, 7, 31, 59, 15, 7, 26, 153]"
purse follow thou the wars defeat thy favour with,"[732, 391, 28, 2, 496, 5372, 41, 701]"
is a sharp wit matched with too blunt a will,"[13, 8, 1093, 276, 7131, 21, 96, 1233]"
you have witchcraft in your lips kate there is,"[7, 20, 5667, 11, 27, 508, 584, 73]"
keep his house and i wash wring brew bake,"[183, 25, 190, 4, 3, 1071, 2434, 5858]"
in sooth he might then if he were my brothers,"[11, 1246, 17, 171, 62, 30, 17, 74]"
think not i love him though i ask for him,"[100, 12, 3, 59, 23, 143, 3, 428]"
twere not as good deed as drink to break the pate,"[612, 12, 22, 47, 464, 22, 475, 5]"
the treason and you go in peace away together,"[2, 1457, 4, 7, 76, 11, 223, 159]"
own world and you might quickly make it right,"[121, 133, 4, 7, 171, 815, 82, 14]"
smiles at her news while warwick frowns at his,"[1454, 46, 34, 320, 356, 540, 2577, 46]"
sir i shall meet your wit in the career and you,"[57, 3, 35, 253, 27, 276, 11, 2]"
ten days ago i drownd these news in tears,"[499, 427, 2240, 3, 2436, 109, 320, 11]"
your mother well hath prayd and prove you true,"[27, 343, 51, 75, 3777, 4, 341, 7]"
that makes him gasp and stare and catch the air,"[9, 285, 23, 4285, 4, 2628, 4, 1173]"
no doubt but he hath got a quiet catch,"[33, 370, 19, 17, 75, 586, 8, 1165]"
ay on my life and hopes to find forward,"[147, 42, 10, 120, 4, 1066, 5, 153]"
ay me poor man how pale and wan he looks,"[147, 15, 160, 65, 70, 596, 4, 4916]"
this is the greatest error of all the rest the man,"[24, 13, 2, 1719, 2030, 6, 37, 2]"
to nerissa by yonder moon i swear you do me wrong,"[5, 4185, 36, 1534, 541, 3, 305, 7]"
what says lord stanley will he bring his power,"[32, 353, 67, 2621, 26, 17, 208, 25]"
i promise i am afraid to hear you tell it,"[3, 776, 3, 49, 1438, 5, 119, 7]"
from whom you now must steal and take no leave,"[60, 222, 7, 44, 88, 762, 4, 95]"
to me and to my aid the blest infusions,"[5, 15, 4, 5, 10, 1004, 2, 1159]"
shall be a mock for his truth and what truth can,"[35, 18, 8, 823, 16, 25, 263, 4]"
more than his reason but tis a common proof,"[55, 79, 25, 393, 19, 98, 8, 763]"
pleased you to dot at peril of your soul,"[764, 7, 5, 878, 46, 2202, 6, 27]"
with all his crimes broad blown as flush as may,"[21, 37, 25, 4680, 2670, 1348, 22, 6642]"
or am i mad hearing him talk of juliet,"[50, 49, 3, 328, 1119, 23, 350, 6]"
this is ercles vein a tyrants vein a lover is,"[24, 13, 7716, 2885, 8, 5808, 2885, 8]"
but little thinks we shall be of her council,"[19, 228, 1037, 38, 35, 18, 6, 34]"
i know not what i shall incur to pass it,"[3, 69, 12, 32, 3, 35, 4639, 5]"
what can so young a thorn begin to prick,"[32, 97, 29, 220, 8, 3378, 746, 5]"
our thoughts are ours their ends none of our own,"[56, 474, 39, 674, 92, 1475, 177, 6]"
thou art always figuring diseases in me but thou,"[28, 118, 1138, 11437, 3983, 11, 15, 19]"
and take his thanks that yet hath nothing else,"[4, 95, 25, 592, 9, 84, 75, 188]"
better it were they all came by the father,"[199, 14, 74, 45, 37, 259, 36, 2]"
put armour on thine ears and on thine eyes,"[170, 1452, 42, 230, 470, 4, 42, 230]"
the athversary you may discuss unto the duke look,"[2, 10221, 7, 80, 7134, 421, 2, 176]"
i heard the owl scream and the crickets cry,"[3, 215, 2, 2061, 11356, 4, 2, 4953]"
all that he is hath reference to your highness,"[37, 9, 17, 13, 75, 8921, 5, 27]"
he rises on the toe that spirit of his,"[17, 4760, 42, 2, 3631, 9, 500, 6]"
lend me a garter so o for a chair,"[723, 15, 8, 2069, 29, 54, 16, 8]"
himself in thames up to the neck and so i would he,"[315, 11, 4125, 107, 5, 2, 870, 4]"
i cry you mercy heres cassio hurt by villains,"[3, 360, 7, 501, 380, 838, 667, 36]"
west of this place down in the neighbour bottom,"[1975, 6, 24, 214, 150, 11, 2, 1787]"
as those should do that had deserved his hate,"[22, 182, 83, 31, 9, 77, 1404, 25]"
i did not see your grace humbly on my knee,"[3, 86, 12, 85, 27, 175, 1401, 42]"
the sky doth frown and lour upon our army,"[2, 2081, 140, 1303, 4, 5943, 105, 56]"
for so they seem theyve left their barge and landed,"[16, 29, 45, 463, 10533, 303, 92, 2494]"
my lord your brother john is taen in flight,"[10, 67, 27, 262, 351, 13, 707, 11]"
well she laments sir for it that it would yearn,"[51, 48, 11996, 57, 16, 14, 9, 14]"
it is too late i cannot send them now,"[14, 13, 96, 444, 3, 162, 332, 64]"
shall for thy love kill a far truer love,"[35, 16, 41, 59, 372, 8, 304, 4052]"
drum and colours enter king henry gloucester and soldiers,"[617, 4, 1088, 113, 93, 434, 578, 4]"
why we are still handling our ewes and their,"[91, 38, 39, 204, 6554, 56, 3444, 4]"
thing to you wherein i must very much lay open mine,"[179, 5, 7, 936, 3, 88, 142, 104]"
all which we pine for now and this report,"[37, 66, 38, 3831, 16, 44, 4, 24]"
this fellow were a king for our wild faction,"[24, 322, 74, 8, 93, 16, 56, 883]"
bonnet then if ever thou darest acknowledge it i,"[4617, 62, 30, 205, 28, 1427, 4458, 14]"
for i must hence and farewell to you all,"[16, 3, 88, 287, 4, 582, 5, 7]"
look your grace has struck the glove which your,"[115, 27, 175, 198, 826, 2, 1413, 66]"
tis not the first time i have constrained one to,"[98, 12, 2, 157, 110, 3, 20, 13952]"
but thou shouldst please me better wouldst thou weep,"[19, 28, 839, 239, 15, 199, 555, 28]"
welsh plood out of your pody i can tell you that,"[2382, 10415, 89, 6, 27, 7188, 3, 97]"
there come a tempest of provocation i will shelter me here,"[73, 52, 8, 1651, 6, 12086, 3, 26]"
it will feed my revenge he hath disgraced me and,"[14, 26, 738, 10, 813, 17, 75, 4733]"
fool sweetest lady by the world i would not care,"[216, 4059, 185, 36, 2, 133, 3, 43]"
