text,text_indexes
as the honey of hybla my old lad of the castle and,"[22, 2, 2227, 6, 6010, 10, 139, 1875]"
is not a buff jerkin a most sweet robe of durance,"[13, 12, 8, 4921, 3308, 8, 126, 158]"
how now how now mad wag what in thy quips and,"[70, 44, 70, 44, 328, 1987, 32, 11]"
thy quiddities what a plague have i to do with a,"[41, 8103, 32, 8, 720, 20, 3, 5]"
why what a pox have i to do with my hostess of the tavern,"[91, 32, 8, 2111, 20, 3, 5, 31]"
well thou hast called her to a reckoning many a,"[51, 28, 155, 840, 34, 5, 8, 2228]"
did i ever call for thee to pay thy part,"[86, 3, 205, 166, 16, 40, 5, 502]"
no ill give thee thy due thou hast paid all there,"[33, 63, 90, 40, 41, 976, 28, 155]"
yea and elsewhere so far as my coin would stretch,"[458, 4, 4924, 29, 304, 22, 10, 2546]"
and where it would not i have used my credit,"[4, 108, 14, 43, 12, 3, 20, 825]"
yea and so used it that were it not here apparent,"[458, 4, 29, 825, 14, 9, 74, 14]"
wag shall there be gallows standing in england when,"[1987, 35, 73, 18, 1876, 2737, 11, 460]"
thou art king and resolution thus fobbed as it is,"[28, 118, 93, 4, 6011, 145, 8104, 22]"
with the rusty curb of old father antic the law do,"[21, 2, 4925, 3310, 6, 139, 165, 4926]"
not thou when thou art king hang a thief,"[12, 28, 58, 28, 118, 93, 479, 8]"
shall i o rare by the lord ill be a brave judge,"[35, 3, 54, 1276, 36, 2, 67, 63]"
thou judgest false already i mean thou shalt have,"[28, 6012, 364, 934, 3, 264, 28, 273]"
the hanging of the thieves and so become a rare hangman,"[2, 1877, 6, 2, 1424, 4, 29, 721]"
well hal well and in some sort it jumps with my,"[51, 1160, 51, 4, 11, 103, 999, 14]"
humour as well as waiting in the court i can tell,"[643, 22, 51, 22, 4928, 11, 2, 308]"
hath no lean wardrobe sblood i am as melancholy,"[75, 33, 1607, 8105, 2988, 3, 49, 22]"
what sayest thou to a hare or the melancholy of,"[32, 1485, 28, 5, 8, 2738, 50, 2]"
thou hast the most unsavoury similes and art indeed,"[28, 155, 2, 126, 8106, 6013, 4, 118]"
prince but hal i prithee trouble me no more,"[265, 19, 1160, 3, 515, 953, 15, 33]"
with vanity i would to god thou and i knew where a,"[21, 2989, 3, 43, 5, 122, 28, 4]"
commodity of good names were to be bought an old,"[2739, 6, 47, 1020, 74, 5, 18, 935]"
lord of the council rated me the other day in the,"[67, 6, 2, 1878, 6014, 15, 2, 173]"
street about you sir but i marked him not and yet,"[1990, 268, 7, 57, 19, 3, 8107, 23]"
he talked very wisely but i regarded him not and,"[17, 2740, 142, 2114, 19, 3, 4929, 23]"
yet he talked wisely and in the street too,"[84, 17, 2740, 2114, 4, 11, 2, 1990]"
thou didst well for wisdom cries out in the,"[28, 445, 51, 16, 1021, 1486, 89, 11]"
o thou hast damnable iteration and art indeed able,"[54, 28, 155, 3712, 6015, 4, 118, 254]"
to corrupt a saint thou hast done much harm upon,"[5, 2990, 8, 916, 28, 155, 132, 104]"
me hal god forgive thee for it before i knew,"[15, 1160, 122, 1236, 40, 16, 14, 168]"
thee hal i knew nothing and now am i if a man,"[40, 1160, 3, 399, 188, 4, 44, 49]"
should speak truly little better than one of the,"[83, 101, 489, 228, 199, 79, 68, 6]"
wicked i must give over this life and i will give,"[1425, 3, 88, 90, 492, 24, 120, 4]"
it over by the lord and i do not i am a villain,"[14, 492, 36, 2, 67, 4, 3, 31]"
ill be damned for never a kings son in,"[63, 18, 1315, 16, 130, 8, 329, 161]"
zounds where thou wilt lad ill make one an i,"[1991, 108, 28, 292, 1875, 63, 82, 68]"
i see a good amendment of life in thee from praying,"[3, 85, 8, 47, 8108, 6, 120, 11]"
why hal tis my vocation hal tis no sin for a,"[91, 1160, 98, 10, 6016, 1160, 98, 33]"
poins now shall we know if gadshill have set a,"[2741, 44, 35, 38, 69, 30, 6017, 20]"
match o if men were to be saved by merit what,"[733, 54, 30, 116, 74, 5, 18, 1107]"
hole in hell were hot enough for him this is the,"[1609, 11, 293, 74, 438, 327, 16, 23]"
what says sir john sack and sugar jack how,"[32, 353, 57, 351, 933, 4, 2547, 954]"
agrees the devil and thee about thy soul that thou,"[6018, 2, 348, 4, 40, 268, 41, 221]"
soldest him on goodfriday last for a cup of madeira,"[8109, 23, 42, 8110, 274, 16, 8, 1080]"
sir john stands to his word the devil shall have,"[57, 351, 556, 5, 25, 172, 2, 348]"
his bargain for he was never yet a breaker of,"[25, 2742, 16, 17, 53, 130, 84, 8]"
then art thou damned for keeping thy word with the devil,"[62, 118, 28, 1315, 16, 2548, 41, 172]"
else he had been damned for cozening the devil,"[211, 17, 77, 125, 1315, 16, 6019, 2]"
but my lads my lads tomorrow morning by four,"[19, 10, 2229, 10, 2229, 672, 1000, 36]"
riding to london with fat purses i have vizards,"[6020, 5, 1081, 21, 802, 3711, 3, 20]"
supper tomorrow night in eastcheap we may do it,"[1316, 672, 154, 11, 8113, 38, 80, 31]"
as secure as sleep if you will go i will stuff,"[22, 2115, 22, 324, 30, 7, 26, 76]"
your purses full of crowns if you will not tarry,"[27, 3711, 247, 6, 1487, 30, 7, 26]"
hear ye yedward if i tarry at home and go not,"[119, 266, 8114, 30, 3, 1545, 46, 267]"
who i rob i a thief not i by my faith,"[106, 3, 1426, 3, 8, 785, 12, 3]"
fellowship in thee nor thou camest not of the blood,"[3713, 11, 40, 117, 28, 1992, 12, 6]"
royal if thou darest not stand for ten shillings,"[882, 30, 28, 1427, 12, 181, 16, 499]"
well then once in my days ill be a madcap,"[51, 62, 210, 11, 10, 427, 63, 18]"
by the lord ill be a traitor then when thou art king,"[36, 2, 67, 63, 18, 8, 977, 62]"
sir john i prithee leave the prince and me alone,"[57, 351, 3, 515, 136, 2, 265, 4]"
i will lay him down such reasons for this adventure,"[3, 26, 313, 23, 150, 99, 1428, 16]"
well god give thee the spirit of persuasion and him,"[51, 122, 90, 40, 2, 500, 6, 3714]"
the ears of profiting that what thou speakest may,"[2, 470, 6, 6021, 9, 32, 28, 6022]"
move and what he hears may be believed that the,"[683, 4, 32, 17, 2366, 80, 18, 3312]"
true prince may for recreation sake prove a false,"[129, 265, 80, 16, 6023, 402, 341, 8]"
thief for the poor abuses of the time want,"[785, 16, 2, 160, 4933, 6, 2, 110]"
now my good sweet honey lord ride with us,"[44, 10, 47, 158, 2227, 67, 1237, 21]"
tomorrow i have a jest to execute that i cannot,"[672, 3, 20, 8, 580, 5, 3715, 9]"
shall rob those men that we have already waylaid,"[35, 1426, 182, 116, 9, 38, 20, 934]"
yourself and i will not be there and when they,"[490, 4, 3, 26, 12, 18, 73, 4]"
have the booty if you and i do not rob them cut,"[20, 2, 6024, 30, 7, 4, 3, 31]"
how shall we part with them in setting forth,"[70, 35, 38, 174, 21, 64, 11, 2367]"
why we will set forth before or after them and,"[91, 38, 26, 196, 294, 168, 50, 316]"
appoint them a place of meeting wherein it is at,"[4217, 64, 8, 214, 6, 1783, 936, 14]"
our pleasure to fail and then will they adventure,"[56, 691, 5, 1048, 4, 62, 26, 45]"
yea but tis like that they will know us by our,"[458, 19, 98, 87, 9, 45, 26, 69]"
tut our horses they shall not see ill tie them,"[1429, 56, 1049, 45, 35, 12, 85, 63]"
in the wood our vizards we will change after we,"[11, 2, 864, 56, 3311, 38, 26, 546]"
leave them and sirrah i have cases of buckram,"[136, 64, 4, 692, 3, 20, 2992, 6]"
for the nonce to immask our noted outward garments,"[16, 2, 8116, 5, 8117, 56, 2116, 2230]"
yea but i doubt they will be too hard for us,"[458, 19, 3, 370, 45, 26, 18, 96]"
well for two of them i know them to be as,"[51, 16, 137, 6, 64, 3, 69, 64]"
truebred cowards as ever turned back and for the,"[6025, 2231, 22, 205, 1161, 289, 4, 16]"
third if he fight longer than he sees reason ill,"[772, 30, 17, 354, 786, 79, 17, 1082]"
forswear arms the virtue of this jest will be the,"[1993, 361, 2, 562, 6, 24, 580, 26]"
tell us when we meet at supper how thirty at,"[94, 81, 58, 38, 253, 46, 1316, 70]"
least he fought with what wards what blows what,"[734, 17, 1083, 21, 32, 4218, 32, 895]"
extremities he endured and in the reproof of this,"[6026, 17, 2993, 4, 11, 2, 3717, 6]"
well ill go with thee provide us all things,"[51, 63, 76, 21, 40, 2743, 81, 37]"
to sport would be as tedious as to work,"[5, 542, 43, 18, 22, 1879, 22, 5]"
but when they seldom come they wishd for come,"[19, 58, 45, 2368, 52, 45, 1546, 16]"
by how much better than my word i am,"[36, 70, 104, 199, 79, 10, 172, 3]"
than that which hath no foil to set it off,"[79, 9, 66, 75, 33, 3718, 5, 196]"
enter the king northumberland worcester hotspur sir walter blunt with others,"[113, 2, 93, 2994, 3719, 4219, 57, 2110]"
which hath been smooth as oil soft as young down,"[66, 75, 125, 1483, 22, 2369, 705, 22]"
which the proud soul neer pays but to the proud,"[66, 2, 461, 221, 314, 2550, 19, 5]"
the scourge of greatness to be used on it,"[2, 4220, 6, 1277, 5, 18, 825, 42]"
and that same greatness too which our own hands,"[4, 9, 337, 1277, 96, 66, 56, 121]"
o sir your presence is too bold and peremptory,"[54, 57, 27, 1134, 13, 96, 581, 4]"
you have good leave to leave us when we need,"[7, 20, 47, 136, 5, 136, 81, 58]"
your use and counsel we shall send for you,"[27, 243, 4, 747, 38, 35, 332, 16]"
were as he says not with such strength denied,"[74, 22, 17, 353, 12, 21, 99, 604]"
is guilty of this fault and not my son,"[13, 1691, 6, 24, 405, 4, 12, 10]"
when i was dry with rage and extreme toil,"[58, 3, 53, 1108, 21, 803, 4, 3720]"
came there a certain lord neat and trimly dressd,"[259, 73, 8, 610, 67, 3721, 4, 8119]"
fresh as a bridegroom and his chin new reapd,"[896, 22, 8, 8120, 4, 25, 1785, 512]"
and twixt his finger and his thumb he held,"[4, 1135, 25, 955, 4, 25, 3315, 17]"
took it in snuff and still he smiled and talkd,"[442, 14, 11, 3722, 4, 204, 17, 2744]"
i then all smarting with my wounds being cold,"[3, 62, 37, 8121, 21, 10, 917, 195]"
he should or he should not for he made me mad,"[17, 83, 50, 17, 83, 12, 16, 17]"
to see him shine so brisk and smell so sweet,"[5, 85, 23, 1317, 29, 8122, 4, 1198]"
of guns and drums and woundsgod save the mark,"[6, 8123, 4, 1547, 4, 8124, 446, 2]"
and that it was great pity so it was,"[4, 9, 14, 53, 124, 480, 29, 14]"
to such a person and in such a place,"[5, 99, 8, 665, 4, 11, 99, 8]"
at such a time with all the rest retold,"[46, 99, 8, 110, 21, 37, 2, 234]"
what then he said so he unsay it now,"[32, 62, 17, 219, 29, 17, 8126, 14]"
that we at our own charge shall ransom straight,"[9, 38, 46, 56, 121, 362, 35, 1611]"
the lives of those that he did lead to fight,"[2, 494, 6, 182, 9, 17, 86, 543]"
whose daughter as we hear the earl of march,"[255, 302, 22, 38, 119, 2, 881, 6]"
for i shall never hold that man my friend,"[16, 3, 35, 130, 192, 9, 65, 10]"
whose tongue shall ask me for one penny cost,"[255, 224, 35, 428, 15, 16, 68, 2370]"
but by the chance of war to prove that true,"[19, 36, 2, 557, 6, 368, 5, 341]"
needs no more but one tongue for all those wounds,"[516, 33, 55, 19, 68, 224, 16, 37]"
he did confound the best part of an hour,"[17, 86, 2551, 2, 194, 174, 6, 78]"
and hid his crisp head in the hollow bank,"[4, 1364, 25, 6028, 189, 11, 2, 1692]"
thou dost belie him percy thou dost belie him,"[28, 218, 3723, 23, 1365, 28, 218, 3723]"
he durst as well have met the devil alone,"[17, 918, 22, 51, 20, 573, 2, 348]"
or you shall hear in such a kind from me,"[50, 7, 35, 119, 11, 99, 8, 317]"
send us your prisoners or you will hear of it,"[332, 81, 27, 1880, 50, 7, 26, 119]"
an if the devil come and roar for them,"[78, 30, 2, 348, 52, 4, 1693, 16]"
i will not send them i will after straight,"[3, 26, 12, 332, 64, 3, 26, 316]"
and tell him so for i will ease my heart,"[4, 94, 23, 29, 16, 3, 26, 1050]"
zounds i will speak of him and let my soul,"[1991, 3, 26, 101, 6, 23, 4, 61]"
want mercy if i do not join with him,"[533, 501, 30, 3, 31, 12, 1109, 21]"
yea on his part ill empty all these veins,"[458, 42, 25, 174, 63, 1366, 37, 109]"
and shed my dear blood drop by drop in the dust,"[4, 1084, 10, 232, 149, 748, 36, 748]"
as high in the air as this unthankful king,"[22, 441, 11, 2, 451, 22, 24, 8127]"
who struck this heat up after i was gone,"[106, 826, 24, 1197, 107, 316, 3, 53]"
of my wifes brother then his cheek lookd pale,"[6, 10, 2371, 262, 62, 25, 937, 978]"
and on my face he turnd an eye of death,"[4, 42, 10, 200, 17, 1110, 78, 241]"
by richard that dead is the next of blood,"[36, 597, 9, 180, 13, 2, 503, 6]"
and for whose death we in the worlds wide mouth,"[4, 16, 255, 127, 38, 11, 2, 1367]"
but soft i pray you did king richard then,"[19, 705, 3, 123, 7, 86, 93, 597]"
but shall it be that you that set the crown,"[19, 35, 14, 18, 9, 7, 9, 196]"
shall it for shame be spoken in these days,"[35, 14, 16, 290, 18, 1136, 11, 109]"
and shall it in more shame be further spoken,"[4, 35, 14, 11, 55, 290, 18, 598]"
of this proud king who studies day and night,"[6, 24, 461, 93, 106, 8128, 134, 4]"
to answer all the debt he owes to you,"[5, 298, 37, 2, 1238, 17, 1881, 5]"
if he fall in good night or sink or swim,"[30, 17, 280, 11, 47, 154, 50, 1489]"
so honour cross it from the north to south,"[29, 197, 938, 14, 60, 2, 1360, 5]"
and let them grapple o the blood more stirs,"[4, 61, 64, 3724, 54, 2, 149, 55]"
to rouse a lion than to start a hare,"[5, 1882, 8, 919, 79, 5, 1612, 8]"
so he that doth redeem her thence might wear,"[29, 17, 9, 140, 2745, 34, 897, 171]"
but not the form of what he should attend,"[19, 12, 2, 804, 6, 32, 17, 83]"
by god he shall not have a scot of them,"[36, 122, 17, 35, 12, 20, 8, 2746]"
no if a scot would save his soul he shall not,"[33, 30, 8, 2746, 43, 446, 25, 221]"
but i will find him when he lies asleep,"[19, 3, 26, 153, 23, 58, 17, 396]"
ill have a starling shall be taught to speak,"[63, 20, 8, 8129, 35, 18, 1051, 5]"
but that i think his father loves him not,"[19, 9, 3, 100, 25, 165, 333, 23]"
and would be glad he met with some mischance,"[4, 43, 18, 432, 17, 573, 21, 103]"
i would have him poisond with a pot of ale,"[3, 43, 20, 23, 4221, 21, 8, 2747]"
tying thine ear to no tongue but thine own,"[4935, 230, 435, 5, 33, 224, 19, 230]"
why look you i am whippd and scourged with rods,"[91, 115, 7, 3, 49, 4936, 4, 8130]"
his uncle york where i first bowd my knee,"[25, 684, 311, 108, 3, 157, 2748, 10]"
o the devil take such cozeners god forgive me,"[54, 2, 348, 95, 99, 6030, 122, 1236]"
as what i think might be but what i know,"[22, 32, 3, 100, 171, 18, 19, 32]"
i smell it upon my life it will do well,"[3, 1198, 14, 105, 10, 120, 14, 26]"
before the game is afoot thou still letst slip,"[168, 2, 2119, 13, 2554, 28, 204, 6031]"
why it cannot choose but be a noble plot,"[91, 14, 162, 673, 19, 18, 8, 336]"
and then the power of scotland and of york,"[4, 62, 2, 246, 6, 3725, 4, 6]"
to save our heads by raising of a head,"[5, 446, 56, 611, 36, 6032, 6, 8]"
the king will always think him in our debt,"[2, 93, 26, 1138, 100, 23, 11, 56]"
till he hath found a time to pay us home,"[146, 17, 75, 344, 8, 110, 5, 502]"
to make us strangers to his looks of love,"[5, 82, 81, 2997, 5, 25, 429, 6]"
he does he does well be revenged on him,"[17, 271, 17, 271, 51, 18, 1490, 42]"
where you and douglas and our powers at once,"[108, 7, 4, 2749, 4, 56, 1163, 46]"
to bear our fortunes in our own strong arms,"[5, 169, 56, 685, 11, 56, 121, 549]"
till fields and blows and groans applaud our sport,"[146, 1884, 4, 895, 4, 1368, 4222, 56]"
enter a carrier with a lantern in his hand,"[113, 8, 6033, 21, 8, 2998, 11, 25]"
heighho an it be not four by the day ill be,"[6034, 78, 14, 18, 12, 511, 36, 2]"
hanged charles wain is over the new chimney and,"[956, 1112, 8131, 13, 492, 2, 512, 4937]"
i prithee tom beat cuts saddle put a few flocks,"[3, 515, 2120, 547, 2999, 4223, 170, 8]"
in the point poor jade is wrung in the withers out,"[11, 2, 527, 160, 2555, 13, 4224, 11]"
peas and beans are as dank here as a dog and that,"[6035, 4, 8133, 39, 22, 4939, 72, 22]"
is the next way to give poor jades the bots this,"[13, 2, 503, 148, 5, 90, 160, 2750]"
house is turned upside down since robin ostler died,"[190, 13, 1161, 8134, 150, 212, 3726, 4225]"
poor fellow never joyed since the price of oats,"[160, 322, 130, 8135, 212, 2, 1786, 6]"
i think this be the most villanous house in all,"[3, 100, 24, 18, 2, 126, 3316, 190]"
london road for fleas i am stung like a tench,"[1081, 3727, 16, 6037, 3, 49, 6038, 87]"
like a tench by the mass there is neer a king,"[87, 8, 6039, 36, 2, 1885, 73, 13]"
christen could be better bit than i have been since,"[6040, 128, 18, 199, 3728, 79, 3, 20]"
why they will allow us neer a jordan and then we,"[91, 45, 26, 2751, 81, 314, 8, 8136]"
i have a gammon of bacon and two razors of ginger,"[3, 20, 8, 8137, 6, 8138, 4, 137]"
gods body the turkeys in my pannier are quite,"[201, 439, 2, 8140, 11, 10, 8141, 39]"
starved what ostler a plague on thee hast thou,"[3318, 32, 4225, 8, 720, 42, 40, 155]"
never an eye in thy head canst not hear an,"[130, 78, 241, 11, 41, 189, 403, 12]"
twere not as good deed as drink to break the pate,"[612, 12, 22, 47, 464, 22, 475, 5]"
on thee i am a very villain come and be hanged,"[42, 40, 3, 49, 8, 142, 493, 52]"
i pray thee lend me thy lantern to see my gelding,"[3, 123, 40, 723, 15, 41, 2998, 5]"
nay by god soft i know a trick worth two of that i faith,"[151, 36, 122, 705, 3, 69, 8, 1164]"
ay when canst tell lend me thy lantern quoth,"[147, 58, 403, 94, 723, 15, 41, 2998]"
sirrah carrier what time do you mean to come to london,"[692, 6033, 32, 110, 31, 7, 264, 5]"
time enough to go to bed with a candle i warrant,"[110, 327, 5, 76, 5, 300, 21, 8]"
i told you yesternight theres a franklin in the,"[3, 277, 7, 6041, 244, 8, 8142, 11]"
wild of kent hath brought three hundred marks with,"[883, 6, 1886, 75, 437, 225, 979, 1548]"
him in gold i heard him tell it to one of his,"[23, 11, 358, 3, 215, 23, 94, 14]"
company last night at supper a kind of auditor one,"[706, 274, 154, 46, 1316, 8, 317, 6]"
that hath abundance of charge too god knows what,"[9, 75, 6042, 6, 362, 96, 122, 365]"
they are up already and call for eggs and butter,"[45, 39, 107, 934, 4, 166, 16, 4941]"
no ill none of it i pray thee keep that for the,"[33, 63, 177, 6, 14, 3, 123, 40]"
what talkest thou to me of the hangman if i hang,"[32, 4942, 28, 5, 15, 6, 2, 2113]"
ill make a fat pair of gallows for if i hang old,"[63, 82, 8, 802, 1320, 6, 1876, 16]"
sir john hangs with me and thou knowest he is no,"[57, 351, 1321, 21, 15, 4, 28, 2234]"
dreamest not of the which for sport sake are,"[8144, 12, 6, 2, 66, 16, 542, 402]"
content to do the profession some grace that would,"[686, 5, 31, 2, 3730, 103, 175, 9]"
if matters should be looked into for their own,"[30, 2556, 83, 18, 1200, 236, 16, 92]"
credit sake make all whole i am joined with no,"[1362, 402, 82, 37, 558, 3, 49, 8145]"
great oneyers such as can hold in such as will,"[124, 8146, 99, 22, 97, 192, 11, 99]"
drink and drink sooner than pray and yet zounds,"[475, 4, 475, 1239, 79, 123, 4, 84]"
i lie for they pray continually to their saint the,"[3, 249, 16, 45, 123, 8147, 5, 92]"
commonwealth or rather not pray to her but prey,"[2557, 50, 272, 12, 123, 5, 34, 19]"
on her for they ride up and down on her and make,"[42, 34, 16, 45, 1237, 107, 4, 150]"
she will she will justice hath liquored her we,"[48, 26, 48, 26, 621, 75, 8148, 34]"
steal as in a castle cocksure we have the receipt,"[762, 22, 11, 8, 1690, 8149, 38, 20]"
nay by my faith i think you are more beholding to,"[151, 36, 10, 206, 3, 100, 7, 39]"
the night than to fernseed for your walking invisible,"[2, 154, 79, 5, 8150, 16, 27, 3319]"
give me thy hand thou shalt have a share in our,"[90, 15, 41, 112, 28, 273, 20, 8]"
nay rather let me have it as you are a false thief,"[151, 272, 61, 15, 20, 14, 22, 7]"
go to homo is a common name to all men bid the,"[76, 5, 8151, 13, 8, 763, 152, 5]"
ostler bring my gelding out of the stable farewell,"[4225, 208, 10, 4940, 89, 6, 2, 4943]"
he is walked up to the top of the hill ill go seek him,"[17, 13, 3000, 107, 5, 2, 1323, 6]"
i am accursed to rob in that thiefs company the,"[3, 49, 4228, 5, 1426, 11, 9, 8152]"
rascal hath removed my horse and tied him i know,"[1369, 75, 6043, 10, 359, 4, 1994, 23]"
not where if i travel but four foot by the squier,"[12, 108, 30, 3, 2121, 19, 511, 413]"
further afoot i shall break my wind well i doubt,"[598, 2554, 3, 35, 296, 10, 495, 51]"
not but to die a fair death for all this if i,"[12, 19, 5, 193, 8, 156, 127, 16]"
forsworn his company hourly any time this two and,"[1278, 25, 706, 4229, 131, 110, 24, 137]"
twenty years and yet i am bewitched with the,"[693, 481, 4, 84, 3, 49, 6044, 21]"
rogues company if the rascal hath not given me,"[2235, 706, 30, 2, 1369, 75, 12, 388]"
medicines to make me love him ill be hanged it,"[6045, 5, 82, 15, 59, 23, 63, 18]"
could not be else i have drunk medicines poins,"[128, 12, 18, 211, 3, 20, 787, 6045]"
ill starve ere ill rob a foot further an twere,"[63, 2374, 203, 63, 1426, 8, 413, 598]"
not as good a deed as drink to turn true man and to,"[12, 22, 47, 8, 464, 22, 475, 5]"
leave these rogues i am the veriest varlet that,"[136, 109, 2235, 3, 49, 2, 4945, 2752]"
ever chewed with a tooth eight yards of uneven,"[205, 8153, 21, 8, 3731, 1887, 6046, 6]"
ground is threescore and ten miles afoot with me,"[550, 13, 6047, 4, 499, 3732, 2554, 21]"
a plague upon it when thieves cannot be true one to another,"[8, 720, 105, 14, 58, 1424, 162, 18]"
whew a plague upon you all give me my horse you,"[8155, 8, 720, 105, 7, 37, 90, 15]"
peace ye fatguts lie down lay thine ear close,"[223, 266, 8156, 249, 150, 313, 230, 435]"
to the ground and list if thou canst hear the tread,"[5, 2, 550, 4, 1052, 30, 28, 403]"
have you any levers to lift me up again being down,"[20, 7, 131, 8157, 5, 2375, 15, 107]"
sblood ill not bear mine own flesh so far afoot,"[2988, 63, 12, 169, 102, 121, 522, 29]"
again for all the coin in thy fathers exchequer,"[178, 16, 37, 2, 2546, 11, 41, 453]"
what a plague mean ye to colt me thus,"[32, 8, 720, 264, 266, 5, 4231, 15]"
thou liest thou art not colted thou art uncolted,"[28, 1694, 28, 118, 12, 8158, 28, 118]"
i prithee good prince hal help me to my horse,"[3, 515, 47, 265, 1160, 284, 15, 5]"
garters if i be taen ill peach for this an i,"[6048, 30, 3, 18, 707, 63, 8160, 16]"
have not ballads made on you all and sung to filthy,"[20, 12, 6049, 114, 42, 7, 37, 4]"
tunes let a cup of sack be my poison when a jest,"[4946, 61, 8, 1080, 6, 933, 18, 10]"
is so forward and afoot too i hate it,"[13, 29, 1139, 4, 2554, 96, 3, 433]"
o tis our setter i know his voice bardolph,"[54, 98, 56, 8161, 3, 69, 25, 523]"
case ye case ye on with your vizards there s,"[629, 266, 629, 266, 42, 21, 27, 3311]"
money of the kings coming down the hill tis going,"[408, 6, 2, 329, 644, 150, 2, 1492]"
